skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,optional_skill_match_percentage,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,readiness_label
75,81,2,6,17,80,98,45,68,78,73,Highly Ready
73,73,0,3,87,80,100,73,76,79,89,Moderately Ready
66,51,12,6,49,52,43,63,71,48,60,Needs Improvement
50,86,0,0,0,52,92,78,89,77,90,Highly Ready
23,0,17,9,100,0,5,41,18,23,55,Not Ready Yet
64,37,13,2,33,80,45,58,76,38,43,Highly Ready
56,36,0,12,48,39,72,88,66,54,54,Moderately Ready
9,43,5,12,37,18,14,16,30,20,28,Not Ready Yet
87,44,6,12,55,74,79,22,67,81,69,Moderately Ready
42,17,20,8,90,40,0,21,22,56,46,Not Ready Yet
16,29,13,0,32,39,30,3,39,21,28,Not Ready Yet
72,69,20,5,62,72,34,43,76,73,92,Moderately Ready
97,69,0,12,74,92,80,65,83,66,73,Moderately Ready
84,53,0,11,92,80,75,89,88,48,75,Moderately Ready
62,31,20,8,31,31,15,49,49,20,52,Needs Improvement
48,37,2,12,0,45,70,34,76,80,71,Moderately Ready
56,46,0,4,89,60,43,63,26,63,24,Not Ready Yet
28,24,13,7,76,41,24,37,44,12,65,Not Ready Yet
75,57,0,8,47,94,74,60,73,93,94,Highly Ready
91,84,13,12,99,92,49,83,100,65,83,Highly Ready
78,56,6,0,42,57,62,63,54,77,55,Moderately Ready
24,20,15,1,35,17,21,12,29,18,18,Not Ready Yet
62,84,0,4,98,80,32,70,58,52,57,Moderately Ready
0,26,0,12,11,19,35,15,61,42,20,Needs Improvement
61,44,0,7,100,52,60,87,78,78,53,Moderately Ready
37,34,6,0,30,18,35,14,41,35,51,Needs Improvement
33,48,6,3,61,57,17,31,30,15,62,Needs Improvement
40,57,0,4,6,48,55,63,37,35,56,Needs Improvement
87,95,0,7,50,85,63,68,73,58,70,Highly Ready
75,71,0,12,17,86,75,80,75,69,99,Highly Ready
46,42,18,11,59,19,42,46,72,24,71,Needs Improvement
54,94,0,1,49,66,54,57,100,87,75,Highly Ready
87,47,13,8,0,68,84,30,66,60,76,Moderately Ready
52,12,20,4,100,6,38,40,27,11,27,Not Ready Yet
43,75,13,0,33,49,76,96,64,68,60,Moderately Ready
56,37,4,0,24,54,42,24,47,53,46,Needs Improvement
48,64,15,0,85,52,18,45,48,52,12,Needs Improvement
39,25,20,0,62,24,28,13,42,33,28,Not Ready Yet
66,66,0,1,64,54,62,84,81,87,100,Highly Ready
100,68,3,4,75,91,48,70,93,73,63,Highly Ready
89,77,15,0,13,78,100,41,100,83,95,Highly Ready
61,88,0,0,20,100,76,58,74,71,80,Highly Ready
82,46,4,3,24,50,83,59,68,41,55,Moderately Ready
49,29,20,12,57,18,30,9,47,20,12,Not Ready Yet
47,67,11,0,66,46,56,57,54,49,50,Moderately Ready
44,20,18,5,41,48,52,46,70,59,38,Needs Improvement
0,41,7,5,84,36,20,15,28,50,23,Not Ready Yet
73,34,12,10,41,27,52,63,42,74,29,Needs Improvement
6,13,13,12,35,49,0,26,43,46,16,Not Ready Yet
53,65,0,6,76,41,5,53,78,46,34,Needs Improvement
70,64,0,4,69,88,68,100,94,67,66,Highly Ready
83,85,4,0,29,58,78,67,100,56,100,Highly Ready
41,6,18,0,40,44,28,3,26,2,49,Not Ready Yet
40,35,13,12,45,55,59,49,45,21,40,Needs Improvement
79,87,5,0,19,62,50,61,100,62,100,Highly Ready
77,92,5,0,48,77,85,46,70,89,80,Highly Ready
78,80,3,8,92,87,67,84,96,78,70,Highly Ready
64,36,0,8,28,54,12,21,58,58,56,Needs Improvement
55,57,5,7,23,76,22,35,79,100,85,Moderately Ready
74,85,0,2,53,84,100,55,66,80,100,Highly Ready
74,40,20,0,24,59,76,44,92,73,74,Needs Improvement
41,4,20,12,38,32,32,46,41,24,22,Not Ready Yet
97,78,0,1,51,86,67,78,90,99,100,Highly Ready
48,87,9,6,21,93,40,23,58,86,49,Moderately Ready
88,94,0,0,83,75,43,81,71,86,83,Highly Ready
86,100,3,0,49,75,99,83,61,58,86,Highly Ready
69,69,0,4,18,67,58,36,100,74,94,Highly Ready
86,50,20,0,9,69,34,72,58,83,60,Moderately Ready
71,86,7,3,85,87,59,38,84,91,91,Highly Ready
89,60,6,9,92,96,79,84,77,95,88,Highly Ready
44,54,0,0,42,58,48,74,35,86,53,Needs Improvement
61,56,6,2,55,52,10,46,43,44,45,Needs Improvement
74,86,1,0,35,70,55,100,86,76,60,Highly Ready
40,57,10,0,25,41,50,50,55,61,55,Moderately Ready
44,79,12,8,50,77,71,35,70,83,66,Moderately Ready
63,93,0,1,27,84,55,42,80,56,57,Moderately Ready
35,29,17,0,64,36,35,63,66,45,49,Needs Improvement
80,94,6,8,8,86,86,63,77,99,83,Highly Ready
82,63,0,2,67,48,59,36,52,60,56,Moderately Ready
48,43,6,8,65,56,43,53,57,45,65,Needs Improvement
82,71,0,0,56,100,55,87,94,58,100,Highly Ready
6,18,19,2,95,47,43,4,26,33,35,Not Ready Yet
28,42,6,4,48,71,37,24,69,44,46,Moderately Ready
100,100,0,0,18,99,64,78,76,64,69,Highly Ready
45,24,20,0,58,32,13,8,37,17,42,Not Ready Yet
80,99,12,4,98,100,67,47,62,86,83,Highly Ready
35,50,16,3,82,52,10,55,52,40,59,Needs Improvement
70,79,0,0,10,82,85,61,87,99,63,Highly Ready
61,80,4,4,48,65,56,100,85,100,90,Highly Ready
4,16,11,0,54,51,1,0,65,42,19,Not Ready Yet
76,46,0,6,100,55,84,66,84,49,87,Moderately Ready
70,82,7,0,14,74,71,61,84,100,61,Highly Ready
32,40,20,0,24,62,59,64,36,21,43,Needs Improvement
14,38,13,12,59,9,17,34,25,30,52,Not Ready Yet
71,68,0,7,83,78,65,73,45,76,76,Moderately Ready
82,53,6,3,85,59,54,43,45,76,71,Moderately Ready
88,61,6,3,75,48,54,42,100,91,53,Moderately Ready
68,46,15,0,81,58,87,66,82,47,49,Moderately Ready
41,47,16,0,28,68,50,50,78,62,59,Needs Improvement
71,38,20,0,93,85,77,65,85,74,73,Moderately Ready
83,100,0,0,40,84,82,77,84,85,85,Highly Ready
48,77,10,12,15,75,76,31,89,85,41,Moderately Ready
23,23,19,9,31,34,0,18,41,27,19,Not Ready Yet
76,100,6,12,41,62,74,100,84,76,66,Highly Ready
31,35,7,4,9,45,11,49,53,44,59,Moderately Ready
100,96,0,12,65,83,73,84,63,77,89,Highly Ready
63,53,3,8,71,37,23,55,72,35,59,Needs Improvement
62,75,7,12,13,67,85,74,81,63,72,Moderately Ready
57,48,0,0,23,37,37,53,62,30,33,Needs Improvement
67,55,6,5,18,56,35,70,65,79,56,Moderately Ready
56,92,10,0,86,52,72,52,70,49,44,Moderately Ready
71,72,0,5,82,86,30,53,64,67,37,Moderately Ready
76,66,0,0,89,72,49,82,69,37,71,Moderately Ready
46,14,20,12,21,12,11,14,34,46,43,Not Ready Yet
57,52,10,0,89,55,50,21,47,35,43,Needs Improvement
56,32,16,2,58,60,36,62,71,74,52,Needs Improvement
71,90,5,12,3,58,60,58,69,100,76,Highly Ready
77,65,5,1,0,89,68,60,93,80,79,Highly Ready
56,23,13,12,91,48,48,38,36,27,21,Needs Improvement
29,4,6,5,94,29,4,46,24,16,23,Not Ready Yet
67,49,8,10,1,79,58,79,95,76,69,Moderately Ready
76,100,2,0,67,58,68,62,87,95,85,Highly Ready
77,49,4,0,51,52,58,29,56,72,80,Highly Ready
80,76,0,0,83,84,77,64,63,59,63,Moderately Ready
87,52,12,10,93,72,26,35,53,52,64,Moderately Ready
45,31,20,10,33,26,29,9,26,48,61,Needs Improvement
28,51,15,0,83,55,57,46,61,63,58,Moderately Ready
46,87,0,0,89,52,34,47,60,48,67,Moderately Ready
75,56,13,8,92,53,48,56,57,76,42,Moderately Ready
51,13,20,8,17,31,48,35,73,33,50,Moderately Ready
50,7,17,6,71,17,43,10,28,57,39,Needs Improvement
58,33,3,0,22,68,21,51,57,55,34,Needs Improvement
34,13,13,1,84,9,22,0,43,14,48,Not Ready Yet
20,41,14,6,95,16,9,54,31,32,0,Not Ready Yet
53,45,9,1,25,60,34,57,52,41,51,Needs Improvement
39,17,12,2,62,41,16,42,58,40,32,Not Ready Yet
51,53,19,2,64,22,26,66,63,54,56,Needs Improvement
82,75,0,10,0,93,61,85,100,81,96,Highly Ready
25,12,18,12,69,20,1,37,58,41,16,Not Ready Yet
37,6,17,12,18,22,42,40,20,15,10,Not Ready Yet
31,38,3,0,17,50,7,55,29,17,53,Needs Improvement
100,62,4,0,9,69,58,57,66,72,53,Moderately Ready
20,31,10,10,85,26,8,46,24,6,47,Not Ready Yet
64,32,8,3,100,28,31,29,79,55,54,Needs Improvement
81,70,2,2,30,63,76,49,76,85,64,Highly Ready
73,30,2,0,15,49,63,14,65,51,56,Needs Improvement
84,63,0,6,45,65,80,93,82,78,78,Highly Ready
59,72,20,0,15,43,31,71,59,78,61,Moderately Ready
66,79,14,5,28,81,44,79,62,84,69,Moderately Ready
64,77,0,0,53,91,49,58,74,57,77,Highly Ready
76,97,1,0,25,63,80,52,85,71,85,Highly Ready
81,71,8,11,83,87,78,73,96,53,84,Highly Ready
77,69,0,0,31,75,64,61,78,83,68,Moderately Ready
51,26,3,11,30,32,52,47,51,36,75,Needs Improvement
39,48,19,6,83,43,0,38,17,26,35,Not Ready Yet
100,98,0,12,69,71,70,30,83,66,79,Highly Ready
49,72,0,1,18,77,61,46,89,66,92,Moderately Ready
17,44,6,0,36,32,10,6,37,7,0,Needs Improvement
89,51,0,0,93,93,87,90,97,66,72,Highly Ready
44,61,20,12,89,58,30,48,39,39,71,Needs Improvement
85,98,0,0,66,75,87,89,76,89,85,Highly Ready
36,53,12,0,94,49,17,48,80,26,54,Needs Improvement
20,34,20,0,15,11,48,30,45,29,37,Not Ready Yet
90,83,14,0,91,52,61,75,74,56,77,Moderately Ready
87,91,0,0,56,100,82,71,73,73,69,Highly Ready
53,62,3,12,49,49,59,16,79,70,84,Moderately Ready
27,27,8,10,100,63,23,47,56,60,55,Needs Improvement
43,51,3,0,17,70,37,77,71,73,45,Moderately Ready
56,86,0,4,78,64,67,52,67,28,57,Moderately Ready
75,49,13,0,60,66,43,70,82,73,62,Moderately Ready
10,39,13,0,63,2,11,9,28,27,39,Not Ready Yet
39,32,16,8,82,32,27,40,68,33,24,Needs Improvement
74,58,15,5,3,50,35,22,49,61,76,Moderately Ready
26,7,20,12,21,39,35,40,27,33,18,Not Ready Yet
100,97,0,0,92,94,59,64,85,74,80,Highly Ready
23,10,20,6,47,0,28,2,34,33,38,Not Ready Yet
53,47,16,3,36,38,32,58,50,31,58,Needs Improvement
53,85,17,2,83,66,35,72,74,61,62,Moderately Ready
33,30,8,12,93,38,23,36,63,37,43,Needs Improvement
77,95,0,5,46,42,62,63,98,68,78,Highly Ready
41,39,9,0,48,64,54,39,47,36,48,Needs Improvement
5,19,20,2,40,7,32,17,32,20,40,Not Ready Yet
55,53,9,3,37,75,38,63,81,92,64,Moderately Ready
87,55,0,0,53,52,58,54,84,67,75,Highly Ready
57,41,4,0,18,63,68,44,60,50,61,Moderately Ready
54,87,8,6,45,46,89,80,73,73,66,Moderately Ready
65,74,11,6,64,71,47,60,87,59,84,Moderately Ready
71,71,0,9,69,57,45,54,59,96,91,Highly Ready
88,78,8,0,8,98,65,83,58,92,86,Moderately Ready
96,47,0,4,61,67,80,66,72,82,74,Highly Ready
41,38,0,2,29,47,30,63,35,49,51,Not Ready Yet
50,37,2,12,36,29,24,20,47,28,55,Needs Improvement
57,93,7,8,36,79,55,49,60,56,60,Moderately Ready
16,47,18,1,26,50,43,25,48,45,45,Needs Improvement
81,73,20,6,70,94,47,83,100,33,83,Moderately Ready
35,76,14,12,80,50,58,52,83,52,45,Needs Improvement
56,8,20,9,1,13,15,2,43,49,38,Not Ready Yet
65,73,6,12,40,61,71,62,75,71,58,Moderately Ready
31,36,4,12,92,44,30,49,40,60,33,Needs Improvement
60,74,0,8,20,82,94,86,100,100,86,Highly Ready
51,41,2,0,89,57,65,68,59,60,65,Moderately Ready
33,30,7,0,0,39,25,10,74,71,46,Needs Improvement
56,40,12,5,93,37,86,39,48,56,60,Moderately Ready
41,13,10,11,93,31,37,3,36,25,54,Not Ready Yet
77,93,15,11,72,49,60,61,58,36,46,Moderately Ready
40,21,0,7,43,33,36,23,14,18,66,Not Ready Yet
77,62,4,2,13,88,91,100,58,75,100,Highly Ready
69,100,7,0,67,78,100,59,100,71,74,Highly Ready
16,15,20,8,87,31,16,36,23,14,26,Not Ready Yet
66,82,7,0,76,87,76,49,97,100,81,Highly Ready
48,52,20,8,20,35,68,23,68,76,24,Needs Improvement
85,63,4,12,50,52,43,25,66,56,66,Moderately Ready
43,16,13,11,41,34,39,51,63,59,17,Needs Improvement
90,89,0,0,34,83,30,56,42,72,55,Moderately Ready
63,65,20,0,84,80,29,43,73,37,66,Moderately Ready
66,74,0,6,77,59,72,62,83,86,67,Moderately Ready
30,66,13,2,12,44,66,61,85,45,24,Needs Improvement
30,44,8,12,79,42,45,41,65,18,48,Needs Improvement
34,25,14,0,90,33,68,35,57,37,51,Needs Improvement
43,45,4,12,97,45,62,49,63,33,71,Needs Improvement
5,18,20,12,40,25,4,2,23,46,41,Not Ready Yet
95,66,20,0,56,54,48,83,86,84,38,Moderately Ready
73,68,18,10,95,66,30,45,75,82,42,Moderately Ready
28,60,17,12,49,34,47,73,42,34,45,Needs Improvement
55,47,17,12,77,45,53,22,66,52,45,Needs Improvement
46,57,12,12,89,45,52,22,64,36,65,Needs Improvement
36,32,20,12,63,14,0,15,44,50,0,Not Ready Yet
13,45,0,12,1,3,38,10,24,38,34,Not Ready Yet
32,17,7,12,43,0,31,36,44,43,26,Not Ready Yet
97,98,7,3,59,68,58,88,72,64,100,Moderately Ready
68,57,14,0,57,68,61,100,91,86,77,Highly Ready
53,65,8,12,4,63,68,74,71,51,86,Moderately Ready
64,51,8,12,53,50,25,58,61,63,63,Moderately Ready
40,35,18,0,53,5,37,31,43,51,24,Not Ready Yet
88,76,2,0,71,96,65,52,81,68,45,Moderately Ready
68,76,15,0,95,94,82,92,93,77,88,Highly Ready
47,43,9,2,36,26,24,48,24,46,56,Not Ready Yet
36,72,4,7,84,54,67,81,58,49,57,Moderately Ready
32,26,16,12,32,43,3,12,54,62,52,Not Ready Yet
76,67,9,4,87,100,81,94,70,74,94,Moderately Ready
65,74,8,5,54,100,43,100,91,96,91,Highly Ready
67,42,6,3,55,42,47,38,61,44,37,Needs Improvement
0,32,20,8,0,52,0,25,24,16,12,Not Ready Yet
53,82,20,1,79,55,57,43,60,46,31,Moderately Ready
49,14,10,0,37,26,28,2,12,41,9,Not Ready Yet
64,81,7,0,98,55,71,35,55,45,89,Moderately Ready
71,62,9,3,58,73,65,63,97,63,39,Needs Improvement
45,0,3,1,48,7,18,5,11,11,63,Not Ready Yet
53,73,20,12,58,49,32,82,56,74,97,Moderately Ready
85,44,15,4,74,48,31,53,55,36,35,Needs Improvement
63,24,14,10,75,76,43,61,73,59,42,Moderately Ready
100,82,12,1,53,81,52,88,100,49,75,Highly Ready
85,83,16,12,93,74,74,85,96,80,85,Highly Ready
46,47,18,0,65,33,37,37,59,46,61,Needs Improvement
59,39,11,0,40,71,49,34,85,54,54,Moderately Ready
87,82,0,6,51,91,97,100,100,100,55,Highly Ready
73,67,0,12,97,75,95,70,90,69,84,Highly Ready
54,17,3,0,13,29,0,26,23,11,17,Not Ready Yet
87,51,0,0,13,47,36,85,84,65,83,Moderately Ready
49,49,14,0,81,54,47,80,69,46,92,Moderately Ready
27,47,5,2,81,64,40,28,52,37,46,Not Ready Yet
64,80,0,0,46,56,100,81,79,100,100,Highly Ready
37,48,19,0,99,46,24,50,41,66,49,Needs Improvement
71,75,0,0,18,60,69,62,68,100,72,Highly Ready
100,83,2,7,16,83,54,92,100,75,75,Highly Ready
67,52,4,9,3,70,67,78,57,78,50,Moderately Ready
59,45,20,12,75,11,17,39,39,62,25,Not Ready Yet
11,37,0,7,72,26,35,42,49,26,22,Not Ready Yet
76,86,8,0,70,79,37,72,49,89,99,Highly Ready
26,12,5,12,60,34,5,33,42,23,16,Not Ready Yet
67,51,7,0,76,90,48,48,77,66,84,Highly Ready
55,42,12,0,51,57,72,65,67,77,57,Moderately Ready
37,77,0,0,56,81,34,67,83,66,72,Moderately Ready
96,79,0,12,30,100,81,79,81,99,72,Highly Ready
59,97,0,12,60,94,56,69,66,76,96,Highly Ready
54,30,13,4,51,40,18,22,72,52,39,Needs Improvement
49,28,5,0,0,19,11,47,21,34,29,Not Ready Yet
100,66,11,0,9,67,58,74,82,90,79,Highly Ready
9,8,0,12,67,15,30,23,26,41,33,Not Ready Yet
28,19,4,12,34,0,45,24,61,0,20,Not Ready Yet
56,58,0,0,0,52,19,63,40,48,46,Needs Improvement
70,80,6,0,15,100,75,100,81,67,83,Highly Ready
24,48,16,0,10,41,53,18,30,44,44,Needs Improvement
79,39,3,7,1,15,44,22,55,74,23,Moderately Ready
22,47,20,12,47,14,14,28,24,40,32,Not Ready Yet
41,32,2,6,91,58,39,21,51,33,36,Needs Improvement
49,66,7,3,72,28,55,18,48,41,40,Needs Improvement
54,80,8,10,85,76,53,53,61,47,77,Moderately Ready
83,99,0,6,56,69,57,52,79,95,76,Highly Ready
100,70,0,12,87,88,100,87,100,69,89,Highly Ready
100,80,20,1,92,71,97,86,74,86,57,Highly Ready
70,40,9,0,58,27,40,60,56,54,50,Needs Improvement
72,91,0,0,51,70,78,66,86,75,63,Highly Ready
100,84,0,8,72,95,79,72,80,98,91,Highly Ready
81,65,11,12,89,75,42,91,88,54,36,Moderately Ready
14,20,12,8,19,18,22,24,24,15,26,Not Ready Yet
22,35,11,9,97,46,26,49,75,41,42,Needs Improvement
39,95,7,12,79,70,47,56,86,70,58,Moderately Ready
76,86,5,12,82,72,64,29,51,48,49,Moderately Ready
60,74,1,5,48,82,64,100,86,69,93,Highly Ready
80,82,6,6,46,92,67,56,65,77,75,Highly Ready
88,40,15,7,93,75,43,72,87,76,54,Moderately Ready
14,15,3,12,86,22,36,21,40,21,42,Not Ready Yet
75,100,12,10,56,72,52,80,90,100,52,Highly Ready
44,37,10,4,43,86,68,58,73,71,75,Moderately Ready
69,83,0,0,25,36,88,74,58,74,68,Moderately Ready
31,35,5,12,100,43,53,67,68,56,39,Needs Improvement
81,88,16,8,80,49,92,88,69,82,43,Moderately Ready
96,100,5,11,3,80,51,78,72,66,83,Highly Ready
51,69,18,0,35,74,62,50,85,45,59,Moderately Ready
94,79,1,0,23,79,79,67,86,88,55,Highly Ready
75,85,0,4,74,64,68,70,91,42,58,Moderately Ready
96,63,9,8,2,78,84,46,100,59,91,Highly Ready
82,37,11,0,96,49,40,61,64,71,58,Moderately Ready
51,54,1,10,11,77,29,82,56,59,82,Moderately Ready
41,18,13,0,73,58,21,49,69,61,41,Needs Improvement
67,70,16,1,92,13,29,69,58,51,34,Needs Improvement
23,47,15,1,74,28,60,33,66,40,42,Needs Improvement
27,32,17,0,30,37,48,0,25,40,24,Not Ready Yet
100,100,3,0,13,99,83,100,94,87,59,Highly Ready
66,51,0,2,52,49,98,55,80,79,51,Moderately Ready
1,0,20,12,12,23,54,26,41,21,43,Not Ready Yet
60,48,13,0,92,65,39,56,79,76,83,Highly Ready
57,62,0,11,99,53,31,30,70,38,30,Needs Improvement
63,60,0,12,65,67,56,56,65,44,42,Needs Improvement
96,88,20,0,55,86,65,50,100,78,81,Highly Ready
85,49,0,2,33,66,80,43,50,64,48,Moderately Ready
68,88,1,0,14,86,65,66,100,96,78,Highly Ready
79,74,5,0,67,84,56,75,70,48,54,Moderately Ready
37,63,6,1,95,38,46,9,63,52,30,Needs Improvement
34,19,13,0,55,77,33,31,55,43,39,Needs Improvement
43,1,4,7,7,0,3,16,46,51,54,Not Ready Yet
78,80,10,1,5,79,67,83,69,79,96,Highly Ready
31,19,0,12,43,40,38,20,64,45,67,Needs Improvement
68,64,14,0,63,62,25,30,66,52,27,Needs Improvement
55,68,6,5,61,72,32,69,81,62,47,Moderately Ready
64,47,1,0,3,37,51,19,39,43,41,Needs Improvement
100,53,0,1,19,81,90,71,100,82,100,Highly Ready
78,67,1,3,33,58,63,100,82,65,55,Moderately Ready
46,43,6,6,69,27,43,54,66,61,34,Needs Improvement
75,61,20,1,11,57,84,70,63,53,84,Moderately Ready
95,71,2,2,0,77,66,89,65,83,91,Highly Ready
37,12,0,12,8,21,32,45,40,35,19,Not Ready Yet
59,67,16,7,75,73,50,36,77,66,41,Moderately Ready
71,40,12,0,63,70,27,48,92,50,85,Moderately Ready
99,100,0,0,49,100,58,78,84,76,77,Highly Ready
82,95,0,9,15,72,48,38,81,80,69,Highly Ready
64,62,0,0,73,52,40,42,81,58,63,Highly Ready
40,90,10,12,68,56,76,31,87,69,62,Moderately Ready
87,97,1,12,53,88,62,70,62,72,64,Highly Ready
35,46,13,5,20,67,73,60,40,55,41,Needs Improvement
47,27,1,12,55,70,72,76,91,43,55,Moderately Ready
86,100,2,7,60,92,58,43,74,95,75,Highly Ready
96,86,4,12,76,78,45,85,96,72,82,Highly Ready
70,42,2,1,20,75,23,58,81,76,76,Moderately Ready
71,66,0,0,21,100,47,54,82,66,87,Highly Ready
56,69,8,0,18,44,54,34,71,64,25,Needs Improvement
48,58,7,9,62,51,57,40,82,78,61,Moderately Ready
75,93,1,12,56,96,53,52,73,58,90,Highly Ready
81,88,0,0,11,92,91,82,70,88,100,Highly Ready
76,49,17,0,85,86,48,76,75,59,48,Moderately Ready
67,44,3,2,71,65,72,18,70,77,64,Moderately Ready
76,57,3,0,58,59,54,80,70,42,75,Moderately Ready
43,45,0,4,100,30,28,65,53,52,51,Needs Improvement
91,57,0,11,24,68,92,100,92,86,87,Highly Ready
43,58,7,0,100,44,28,21,59,30,18,Needs Improvement
90,66,6,0,52,100,79,48,76,59,59,Highly Ready
75,59,20,8,19,14,48,35,68,52,46,Needs Improvement
91,56,0,0,68,61,53,100,84,96,93,Highly Ready
92,54,4,0,100,55,49,100,84,78,56,Highly Ready
35,43,0,4,26,38,33,12,59,34,68,Not Ready Yet
79,70,4,11,22,94,70,78,100,76,70,Highly Ready
67,61,0,6,52,100,75,100,90,86,64,Moderately Ready
57,49,7,12,81,67,51,41,64,78,72,Moderately Ready
10,32,20,0,62,6,39,28,25,8,46,Not Ready Yet
76,42,4,10,45,52,45,68,70,54,56,Moderately Ready
76,60,14,0,46,65,39,45,63,87,54,Moderately Ready
0,6,17,12,25,0,32,14,33,36,24,Not Ready Yet
74,85,4,11,29,68,100,78,80,82,63,Highly Ready
66,52,20,0,60,71,46,78,74,47,48,Moderately Ready
60,17,17,2,87,50,36,34,26,22,36,Not Ready Yet
67,68,17,12,60,86,65,31,98,75,56,Moderately Ready
63,38,20,0,10,78,59,79,76,74,69,Moderately Ready
72,2,5,12,43,60,44,36,81,34,43,Needs Improvement
37,37,18,6,0,53,56,70,34,39,71,Needs Improvement
64,66,0,9,88,39,79,26,77,79,68,Moderately Ready
77,70,8,0,47,55,79,47,82,69,51,Moderately Ready
91,77,0,0,9,72,50,61,90,67,80,Highly Ready
73,100,8,3,71,74,46,53,66,68,89,Highly Ready
100,76,15,0,8,91,50,42,79,81,46,Moderately Ready
61,60,7,2,3,76,68,70,70,73,88,Highly Ready
75,68,0,0,21,66,23,71,89,88,91,Moderately Ready
10,39,20,12,0,26,12,34,35,7,24,Not Ready Yet
13,21,13,0,82,19,52,43,1,52,9,Not Ready Yet
32,38,10,11,50,39,51,36,38,61,44,Needs Improvement
61,62,0,5,64,44,48,57,79,54,64,Moderately Ready
28,51,6,0,12,37,50,37,66,43,64,Needs Improvement
36,40,15,1,84,42,18,36,55,52,58,Needs Improvement
86,97,0,4,100,66,54,88,65,96,79,Highly Ready
63,50,0,7,55,50,81,22,43,14,76,Needs Improvement
62,88,11,12,75,80,65,86,63,85,100,Highly Ready
77,63,1,7,43,90,66,66,54,72,84,Highly Ready
45,44,2,0,2,91,75,49,43,55,95,Moderately Ready
15,19,19,0,0,52,34,29,21,30,35,Not Ready Yet
24,14,0,0,74,10,42,10,21,7,30,Not Ready Yet
88,42,1,8,62,67,27,75,60,77,59,Moderately Ready
74,100,0,0,73,74,66,63,76,98,75,Highly Ready
78,73,0,0,32,100,77,56,100,55,100,Highly Ready
51,48,17,2,49,45,48,61,68,49,58,Needs Improvement
80,61,5,6,86,75,94,83,100,79,57,Highly Ready
70,81,0,5,51,81,44,65,67,55,51,Moderately Ready
77,70,0,0,24,63,53,54,75,61,51,Moderately Ready
46,58,11,7,78,50,64,65,55,22,43,Needs Improvement
65,26,14,8,55,73,39,35,69,55,16,Needs Improvement
51,47,0,0,4,48,77,30,74,94,63,Moderately Ready
64,74,0,0,52,56,74,61,48,81,82,Moderately Ready
78,67,0,11,27,76,56,73,59,95,56,Highly Ready
12,28,20,0,88,17,23,8,48,12,23,Not Ready Yet
62,44,13,0,41,80,69,65,88,33,84,Moderately Ready
42,24,8,12,25,0,19,26,36,33,46,Not Ready Yet
19,25,20,2,31,28,53,53,40,25,32,Not Ready Yet
80,85,0,0,14,49,43,62,66,54,75,Moderately Ready
51,16,19,0,82,41,43,50,73,19,51,Needs Improvement
31,3,0,4,5,10,7,21,41,13,4,Not Ready Yet
65,94,6,0,39,75,44,79,91,96,69,Highly Ready
49,43,0,6,0,23,68,57,65,50,51,Needs Improvement
68,90,0,2,40,76,46,46,56,63,57,Moderately Ready
43,2,1,10,100,27,52,7,28,29,23,Not Ready Yet
42,66,6,12,50,28,55,22,26,44,39,Needs Improvement
54,48,0,5,43,56,32,46,95,71,73,Moderately Ready
92,84,0,0,33,80,96,77,100,67,95,Highly Ready
83,50,0,0,34,63,24,92,71,88,66,Moderately Ready
54,57,14,2,8,54,52,28,36,60,38,Needs Improvement
38,36,20,12,41,43,0,44,44,26,48,Not Ready Yet
73,54,12,7,2,98,83,97,100,100,66,Highly Ready
37,24,18,2,59,15,33,11,38,21,33,Not Ready Yet
57,94,8,0,58,44,42,50,82,60,83,Moderately Ready
5,28,0,0,72,21,38,31,50,18,19,Not Ready Yet
97,63,14,0,82,61,85,67,44,100,60,Moderately Ready
46,57,20,12,42,53,28,64,78,49,61,Needs Improvement
74,76,12,4,0,63,53,28,77,58,45,Moderately Ready
78,42,0,12,18,56,85,66,92,75,88,Moderately Ready
33,31,11,9,4,37,16,40,55,40,11,Not Ready Yet
82,67,4,3,56,44,67,44,62,73,58,Moderately Ready
70,85,5,1,65,82,52,41,100,84,65,Highly Ready
65,61,4,12,54,55,83,34,58,69,61,Moderately Ready
0,15,18,12,38,24,14,28,43,33,40,Not Ready Yet
53,68,13,1,20,48,60,55,65,55,89,Moderately Ready
57,28,15,7,42,59,73,32,44,52,60,Moderately Ready
100,62,3,6,86,88,98,53,64,69,70,Highly Ready
46,20,5,12,100,8,33,17,27,35,25,Not Ready Yet
43,32,4,8,100,16,46,29,48,23,37,Not Ready Yet
58,60,6,0,68,62,79,73,78,59,93,Moderately Ready
51,30,20,8,61,66,52,49,61,53,32,Needs Improvement
60,64,2,5,25,68,40,66,74,65,80,Needs Improvement
88,65,5,5,60,49,58,53,75,81,61,Moderately Ready
26,9,20,0,22,41,15,7,28,23,31,Not Ready Yet
55,48,0,8,74,51,37,31,82,50,49,Needs Improvement
47,24,4,6,36,54,44,35,49,62,69,Needs Improvement
11,14,3,12,0,34,46,18,36,34,10,Not Ready Yet
86,100,0,9,58,74,73,51,79,65,78,Highly Ready
53,55,0,0,73,75,70,46,66,43,49,Moderately Ready
37,59,0,3,100,54,32,62,53,45,42,Needs Improvement
29,29,16,12,20,28,32,36,42,33,29,Not Ready Yet
